code,name,last_price,change_pct,change_amount,volume,amount,amplitude,turnover_rate,pe,pb,open,high,low,source,update_time
bj920245,威博液压,13.45,0.448,0.06,516799.0,7068082.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920247,华密新材,15.94,-0.125,-0.02,1329768.0,21495366.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920249,利尔达,11.31,3.761,0.41,14792189.0,167310939.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920252,天宏锂电,18.54,4.157,0.74,2673781.0,50253052.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920260,中寰股份,7.35,-1.21,-0.09,734923.0,5461501.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920261,一诺威,13.5,-0.516,-0.07,355665.0,4836440.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920262,太湖雪,12.33,-0.565,-0.07,196276.0,2440524.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920263,中航泰达,7.01,-1.268,-0.09,546185.0,3862828.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920266,生物谷,6.35,-2.905,-0.19,589797.0,3806440.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920267,鑫汇科,14.1,0.142,0.02,220254.0,3128065.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920270,天铭科技,12.65,-0.706,-0.09,439284.0,5606641.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920271,邦德股份,9.82,-0.708,-0.07,242315.0,2398406.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920273,一致魔芋,17.68,-2.158,-0.39,802397.0,14265036.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920274,宏裕包材,15.44,0.195,0.03,510837.0,7966418.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920275,驱动力,6.27,2.284,0.14,1795447.0,11048301.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920278,鹿得医疗,5.71,-1.382,-0.08,582603.0,3358478.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920284,灵鸽科技,19.87,-0.6,-0.12,1639256.0,33335576.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920299,灿能电力,16.35,-1.506,-0.25,382840.0,6343931.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920300,辰光医疗,10.08,-0.395,-0.04,740067.0,7511541.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920304,迪尔化工,8.54,0.946,0.08,378546.0,3238486.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920305,*ST云创,0.0,0.0,0.0,0.0,0.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920339,恒太照明,12.82,0.313,0.04,1455831.0,18780224.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920344,三元基因,20.99,-6.043,-1.35,2332023.0,49413804.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920346,威贸电子,15.25,-0.457,-0.07,143501.0,2206602.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920351,华光源海,11.3,-0.964,-0.11,288372.0,3292363.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920357,雅葆轩,18.81,-1.363,-0.26,1189732.0,22719854.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920363,莱赛激光,11.47,-2.632,-0.31,1608442.0,18703506.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920367,新赣江,22.55,-4.973,-1.18,4214936.0,94313546.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920368,连城数控,27.94,0.467,0.13,1693581.0,47658875.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920370,新安洁,2.44,-0.813,-0.02,781178.0,1912150.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920371,欧福蛋业,6.86,0.0,0.0,1017905.0,7014106.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920374,云里物里,14.33,-0.417,-0.06,197251.0,2857277.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920375,派诺科技,6.95,3.116,0.21,3334126.0,23244251.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920378,泰德股份,7.08,-2.479,-0.18,571788.0,4133616.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920392,佳合科技,14.16,-2.007,-0.29,80190.0,1145733.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
