symbol,name,report_date,pub_date,year,quarter,roe,net_margin,gross_margin,net_profit,eps,revenue,debt_ratio,source
603259,药明康德,2025-12-31,2026-04-30,2025,4,5.68,,50.402592516100,,1.59,,21.079887599500,mxdata
603186,华正新材,2025-12-31,2026-04-30,2025,4,13.185923073500,,13.072272945800,,1.95,,72.364747064400,mxdata
603220,中贝通信,2025-12-31,2026-04-30,2025,4,-0.177634152700,,19.688893964900,,0.19,,74.582329659600,mxdata
603259,药明康德,2025-12-31,2026-04-30,2025,4,28.56,,47.638710497100,,6.7,,22.180993150800,mxdata
603297,永新光学,2025-12-31,2026-04-30,2025,4,11.05,,39.281965675700,,1.98,,19.576750435900,mxdata
603383,顶点软件,2025-12-31,2026-04-30,2025,4,5.057691532200,,70.715932534200,,0.87,,20.436101783500,mxdata
603444,吉比特,2025-12-31,2026-04-30,2025,4,10.641824564100,,93.901389200200,,24.9,,24.158355444500,mxdata
603297,永新光学,2025-12-31,2026-04-30,2025,4,2.22,,36.756617632200,,0.42,,21.214938383200,mxdata
603383,顶点软件,2025-12-31,2026-04-30,2025,4,3.044194619600,,73.534306484900,,0.23,,15.44763735300,mxdata
603444,吉比特,2025-12-31,2026-04-30,2025,4,8.988152419100,,93.766584459200,,7.18,,21.602912925700,mxdata
603629,利通电子,2025-12-31,2026-04-30,2025,4,16.18,,24.796316391800,,1.12,,69.025591416500,mxdata
603662,柯力传感,2025-12-31,2026-04-30,2025,4,12.13,,44.82963472700,,1.21,,31.281139397600,mxdata
603728,鸣志电器,2025-12-31,2026-04-30,2025,4,0.380059002300,,36.391951839700,,0.1459,,34.230316002500,mxdata
603881,数据港,2025-12-31,2026-04-30,2025,4,0.570295013600,,37.56164668300,,0.19,,57.296540915300,mxdata
603887,城地香江,2025-12-31,2026-04-30,2025,4,-1.89,,17.007949876100,,-0.1114,,71.038851677400,mxdata
603629,利通电子,2025-12-31,2026-04-30,2025,4,12.93,,46.229788693200,,1.03,,75.095296315900,mxdata
603662,柯力传感,2025-12-31,2026-04-30,2025,4,1.48,,46.345955034600,,0.15,,29.445946411400,mxdata
603728,鸣志电器,2025-12-31,2026-04-30,2025,4,0.464417826100,,37.023150446200,,0.033,,34.691490700300,mxdata
603881,数据港,2025-12-31,2026-04-30,2025,4,1.339614992100,,31.746103561200,,0.06,,54.176289569600,mxdata
603887,城地香江,2025-12-31,2026-04-30,2025,4,-0.38,,27.534720638600,,-0.02,,71.178965012800,mxdata
603893,瑞芯微,2025-12-31,2026-04-30,2025,4,25.79,,41.949516415800,,2.48,,21.528578144200,mxdata
603912,佳力图,2025-12-31,2026-04-30,2025,4,-2.97,,14.730475356400,,-0.1,,46.072891958100,mxdata
603985,恒润股份,2025-12-31,2026-04-30,2025,4,2.57,,8.979147700400,,0.1904,,42.602592599600,mxdata
603993,洛阳钼业,2025-12-31,2026-04-30,2025,4,26.61,,23.927518926800,,0.95,,50.338151231200,mxdata
