symbol,date,margin_buy,margin_repay,margin_balance,margin_ratio,sec_lending_volume,sec_lending_balance
002129,20260630,549220324.0,526992606.0,2472865427.0,0.0,400.0,1647341.0
002130,20260706,70140509.0,65045637.0,1454176020.0,0.0,8900.0,20140463.0
002130,20260703,47693164.0,80259961.0,1449081148.0,0.0,18700.0,19822795.0
002130,20260702,73799827.0,54424545.0,1481647945.0,0.0,10200.0,19150840.0
002130,20260701,102636293.0,92749490.0,1462272663.0,0.0,17700.0,19973938.0
002130,20260630,105050649.0,100719008.0,1452385860.0,0.0,11000.0,20436946.0
002131,20260706,74106326.0,94343068.0,1093903233.0,0.0,14200.0,2773012.0
002131,20260703,57845096.0,79671417.0,1114139975.0,0.0,35700.0,2906360.0
002131,20260702,92745224.0,117281957.0,1135966296.0,0.0,252900.0,2945329.0
002131,20260701,73851317.0,85353394.0,1160503029.0,0.0,22500.0,2365244.0
002131,20260630,64063412.0,93169354.0,1172005106.0,0.0,0.0,2424400.0
002138,20260706,214457826.0,310391299.0,1593271580.0,0.0,900.0,29794846.0
002138,20260703,247365119.0,539094707.0,1689205053.0,0.0,14900.0,32681506.0
002138,20260702,295478474.0,258142238.0,1980934641.0,0.0,13800.0,34347424.0
002138,20260701,499596951.0,373296803.0,1943598405.0,0.0,15500.0,37911720.0
002138,20260630,365561494.0,345394297.0,1817298257.0,0.0,5200.0,36133330.0
002151,20260706,40218989.0,38751058.0,847761554.0,0.0,3300.0,5448042.0
002151,20260703,48071991.0,39854241.0,846293623.0,0.0,1000.0,5707955.0
002151,20260702,27609812.0,47459280.0,838075873.0,0.0,800.0,5509572.0
002151,20260701,61008547.0,65747764.0,857925341.0,0.0,9400.0,6021022.0
002151,20260630,40131049.0,39232305.0,862664558.0,0.0,500.0,5527675.0
002156,20260706,854062510.0,680887902.0,5962588775.0,0.0,42500.0,15508224.0
002156,20260703,648989233.0,809518834.0,5789414167.0,0.0,28600.0,13707403.0
002156,20260702,926797421.0,1050524649.0,5949943768.0,0.0,14900.0,20927412.0
002156,20260701,1421281827.0,1306114812.0,6073670996.0,0.0,92800.0,28413517.0
002156,20260630,1178168880.0,1182210186.0,5958503981.0,0.0,8400.0,24736200.0
002179,20260706,276506367.0,246931131.0,2042893981.0,0.0,14200.0,4918756.0
002179,20260703,209063048.0,182094617.0,2013318745.0,0.0,8400.0,5155097.0
002179,20260702,218307651.0,233613351.0,1986350314.0,0.0,19400.0,5589884.0
002179,20260701,335814112.0,311586250.0,2001656014.0,0.0,12600.0,6209480.0
002179,20260630,269825555.0,298321125.0,1977428152.0,0.0,23100.0,6783361.0
002185,20260706,457771173.0,528659834.0,2765971432.0,0.0,109600.0,16689461.0
002185,20260703,407515739.0,443736800.0,2836860093.0,0.0,117500.0,16795847.0
002185,20260702,570875631.0,654264836.0,2873081154.0,0.0,267100.0,16610940.0
002185,20260701,895472506.0,899452348.0,2956470359.0,0.0,199800.0,19285263.0
002185,20260630,893754573.0,715755559.0,2960450201.0,0.0,64700.0,20236352.0
002202,20260706,404193163.0,348308029.0,3676669036.0,0.0,500.0,12927181.0
002202,20260703,457623451.0,539766820.0,3620783902.0,0.0,83600.0,14295642.0
002202,20260702,531243972.0,454429860.0,3702927271.0,0.0,15600.0,12478168.0
002202,20260701,852280150.0,696458994.0,3626113159.0,0.0,8800.0,13273492.0
